soure id	target id	interact_mode	source	reversibility	confidence
b2584	b3165	Acetylation;	Protein_modification	0	strong evidence
b2584	b2914	Acetylation;	Protein_modification	0	strong evidence
b2584	b2614	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4376	Acetylation;	Protein_modification	0	strong evidence
b2584	b2150	Acetylation;	Protein_modification	0	strong evidence
b2584	b0031	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b0031	Acetylation;	Protein_modification	0	strong evidence
b2584	b4388	Acetylation;	Protein_modification	0	strong evidence
b2584	b4383	Acetylation;	Protein_modification	0	strong evidence
b2584	b4235	Acetylation;	Protein_modification	0	strong evidence
b2584	b4177	Acetylation;	Protein_modification	0	strong evidence
b2584	b4057	Acetylation;	Protein_modification	0	strong evidence
b2584	b4000	Acetylation;	Protein_modification	0	strong evidence
b2584	b3987	Acetylation;	Protein_modification	0	strong evidence
b2584	b3984	Acetylation;	Protein_modification	0	strong evidence
b2584	b3972	Acetylation;	Protein_modification	0	strong evidence
b2584	b3961	Acetylation;	Protein_modification	0	strong evidence
b2584	b3910	Acetylation;	Protein_modification	0	strong evidence
b2584	b3871	Acetylation;	Protein_modification	0	strong evidence
b2584	b3791	Acetylation;	Protein_modification	0	strong evidence
b2584	b3783	Acetylation;	Protein_modification	0	strong evidence
b2584	b3701	Acetylation;	Protein_modification	0	strong evidence
b2584	b3636	Acetylation;	Protein_modification	0	strong evidence
b2584	b3559	Acetylation;	Protein_modification	0	strong evidence
b2584	b3357	Acetylation;	Protein_modification	0	strong evidence
b2584	b3319	Acetylation;	Protein_modification	0	strong evidence
b2584	b3313	Acetylation;	Protein_modification	0	strong evidence
b2584	b3310	Acetylation;	Protein_modification	0	strong evidence
b2584	b3306	Acetylation;	Protein_modification	0	strong evidence
b2584	b3296	Acetylation;	Protein_modification	0	strong evidence
b2584	b3295	Acetylation;	Protein_modification	0	strong evidence
b2584	b3236	Acetylation;	Protein_modification	0	strong evidence
b2584	b3168	Acetylation;	Protein_modification	0	strong evidence
b2584	b3166	Acetylation;	Protein_modification	0	strong evidence
b2584	b3071	Acetylation;	Protein_modification	0	strong evidence
b2584	b3066	Acetylation;	Protein_modification	0	strong evidence
b2584	b3025	Acetylation;	Protein_modification	0	strong evidence
b2584	b3008	Acetylation;	Protein_modification	0	strong evidence
b2584	b2904	Acetylation;	Protein_modification	0	strong evidence
b2584	b2890	Acetylation;	Protein_modification	0	strong evidence
b2584	b2889	Acetylation;	Protein_modification	0	strong evidence
b2584	b2669	Acetylation;	Protein_modification	0	strong evidence
b2584	b2610	Acetylation;	Protein_modification	0	strong evidence
b2584	b2585	Acetylation;	Protein_modification	0	strong evidence
b2584	b2476	Acetylation;	Protein_modification	0	strong evidence
b2584	b2464	Acetylation;	Protein_modification	0	strong evidence
b2584	b2417	Acetylation;	Protein_modification	0	strong evidence
b2584	b2306	Acetylation;	Protein_modification	0	strong evidence
b2584	b2171	Acetylation;	Protein_modification	0	strong evidence
b2584	b2042	Acetylation;	Protein_modification	0	strong evidence
b2584	b1908	Acetylation;	Protein_modification	0	strong evidence
b2584	b1866	Acetylation;	Protein_modification	0	strong evidence
b2584	b1854	Acetylation;	Protein_modification	0	strong evidence
b2584	b1852	Acetylation;	Protein_modification	0	strong evidence
b2584	b1748	Acetylation;	Protein_modification	0	strong evidence
b2584	b1479	Acetylation;	Protein_modification	0	strong evidence
b2584	b1435	Acetylation;	Protein_modification	0	strong evidence
b2584	b1286	Acetylation;	Protein_modification	0	strong evidence
b2584	b1237	Acetylation;	Protein_modification	0	strong evidence
b2584	b1136	Acetylation;	Protein_modification	0	strong evidence
b2584	b1131	Acetylation;	Protein_modification	0	strong evidence
b2584	b1107	Acetylation;	Protein_modification	0	strong evidence
b2584	b1093	Acetylation;	Protein_modification	0	strong evidence
b2584	b0917	Acetylation;	Protein_modification	0	strong evidence
b2584	b0902	Acetylation;	Protein_modification	0	strong evidence
b2584	b0893	Acetylation;	Protein_modification	0	strong evidence
b2584	b0755	Acetylation;	Protein_modification	0	strong evidence
b2584	b0754	Acetylation;	Protein_modification	0	strong evidence
b2584	b0687	Acetylation;	Protein_modification	0	strong evidence
b2584	b0643	Acetylation;	Protein_modification	0	strong evidence
b2584	b0623	Acetylation;	Protein_modification	0	strong evidence
b2584	b0606	Acetylation;	Protein_modification	0	strong evidence
b2584	b0481	Acetylation;	Protein_modification	0	strong evidence
b2584	b0474	Acetylation;	Protein_modification	0	strong evidence
b2584	b0436	Acetylation;	Protein_modification	0	strong evidence
b2584	b0421	Acetylation;	Protein_modification	0	strong evidence
b2584	b0194	Acetylation;	Protein_modification	0	strong evidence
b2584	b0168	Acetylation;	Protein_modification	0	strong evidence
b2584	b0115	Acetylation;	Protein_modification	0	strong evidence
b2584	b0114	Acetylation;	Protein_modification	0	strong evidence
b2584	b0110	Acetylation;	Protein_modification	0	strong evidence
b2584	b0102	Acetylation;	Protein_modification	0	strong evidence
b2584	b0098	Acetylation;	Protein_modification	0	strong evidence
b2584	b0033	Acetylation;	Protein_modification	0	strong evidence
b2584	b0026	Acetylation;	Protein_modification	0	strong evidence
b2584	b0008	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b0032	Acetylation;	Protein_modification	0	strong evidence
b2584	b2416	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4517	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4391	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4388	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2508	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4383	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4381	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4375	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4295	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4258	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4244	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4243	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4238	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4235	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4234	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4232	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4203	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4179	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4177	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4154	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4142	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4127	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4108	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4059	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4057	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4054	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4045	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4041	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4025	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4015	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4006	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4005	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b4000	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3987	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3986	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3985	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3984	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3983	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3982	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3972	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3962	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3961	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3942	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3940	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3936	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3931	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3910	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3908	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3871	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3870	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3863	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3831	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3791	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3783	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3780	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3764	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3755	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3734	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3733	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3731	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3730	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3701	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3648	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3644	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3637	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3612	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3610	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3602	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3600	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3572	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3559	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3526	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3500	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3499	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3498	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3495	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3465	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3433	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3414	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3390	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3384	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3357	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3356	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3341	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3340	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3321	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3320	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3319	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3318	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3317	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3315	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3313	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3312	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3310	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3308	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3307	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3306	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3305	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3304	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3301	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3298	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3296	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3294	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3256	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3253	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3230	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3229	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3203	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3186	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3169	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3168	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3167	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3165	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3105	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3071	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3066	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3052	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3042	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3029	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3025	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b3008	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2965	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2947	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2935	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2925	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2914	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2913	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2908	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2904	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2901	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2898	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2890	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2889	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2780	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2745	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2697	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2696	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2687	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2669	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2608	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2606	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2599	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2597	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2593	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2585	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2579	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2569	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2557	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2551	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2532	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2530	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2527	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2526	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2523	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2518	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2514	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2508	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2501	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2500	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2498	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2480	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2478	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2476	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2464	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2463	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2431	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2415	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2411	Acetylation;	Protein_modification	0	strong evidence
actp[c]	b2400	Acetylation;	Protein_modification	0	strong evidence
